GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.json,JsonDateTimeAsStringConverter,40,61,15,5,16,15,15,6,0,4
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.json,JsonDecimalConverter,13,13,0,0,2,5,0,3,0,3
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.json,JsonDateTimeAsLongConverter,12,14,0,0,2,5,0,3,0,3
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.json,JsonBinaryConverter,13,24,0,0,2,9,0,3,0,3
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt,Record2JsonStringConverter.Value,0,31,0,2,0,5,0,6,0,5
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt,Record2JsonStringConverter,8,291,1,15,4,72,3,17,2,9
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt,Record2JsonStringConverter.Key,2,29,1,1,0,5,1,5,0,5
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter,SinkConverter,0,109,1,11,0,26,1,9,0,4
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter,AvroJsonSchemafulRecordConverter,125,484,6,29,18,94,6,27,0,14
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter,JsonSchemalessRecordConverter,5,44,1,1,1,5,1,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter,SinkDocument,0,47,0,4,0,9,0,6,0,4
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter,SinkFieldConverter,9,49,1,7,2,14,1,6,0,3
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter,JsonRawStringRecordConverter,0,14,0,2,0,4,0,3,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter,FieldConverter,0,9,0,0,0,4,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson,StringFieldConverter,0,10,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson,Int32FieldConverter,0,11,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson,BytesFieldConverter,0,37,0,4,0,8,0,4,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson,Float32FieldConverter,0,12,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson,Int8FieldConverter,0,11,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson,Float64FieldConverter,0,11,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson,Int64FieldConverter,0,11,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson,BooleanFieldConverter,0,11,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson,Int16FieldConverter,0,11,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson.logical,TimeFieldConverter,0,11,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson.logical,DateFieldConverter,0,11,0,0,0,3,0,2,0,2
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson.logical,DecimalFieldConverter.Format,0,15,0,0,0,3,0,1,0,1
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson.logical,DecimalFieldConverter,0,64,1,5,0,13,1,5,0,3
kafka-connect-transform-record2jsonstring,com.github.cedelsb.kafka.connect.smt.converter.types.sink.bson.logical,TimestampFieldConverter,0,11,0,0,0,3,0,2,0,2
